Analysis setting,Participant,Method,n_recordings,n_class_0,n_class_1,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score
Bidirectional cross-task,1,Always fused,6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.5,0.7312499999999998,0.7708333333333331,0.680761995003682,0.2442671982568765
Bidirectional cross-task,1,Always neural,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.5,0.7312499999999998,0.7708333333333331,1.21033295117468,0.3927574582420788
Bidirectional cross-task,1,CB-SF,6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.5,0.7312499999999998,0.7708333333333331,0.6780492088078631,0.243470417339943
Bidirectional cross-task,1,DASF,6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.25,0.65,0.6916666666666667,1.2390592088488497,0.4069230122823034
Bidirectional cross-task,1,EEG-Conformer,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.625,0.7666666666666666,0.8041666666666667,0.680141574364507,0.207615465037124
Bidirectional cross-task,1,EEGNet,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,1.0,1.0,1.0,0.430788523515863,0.1328200305998342
Bidirectional cross-task,1,Equal blend (50%),6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.5,0.7312499999999998,0.7708333333333331,0.6791227944509663,0.2451947374776701
Bidirectional cross-task,1,Extra Trees,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.625,0.7666666666666666,0.8041666666666667,0.5949666459879788,0.204999126208495
Bidirectional cross-task,1,Fixed blend (10%),6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.5,0.7312499999999998,0.7708333333333331,0.7199720183889803,0.2680791394015728
Bidirectional cross-task,1,Fixed blend (25%),6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.5,0.7312499999999998,0.7708333333333331,0.6920240927895595,0.2532986147853924
Bidirectional cross-task,1,Random forest,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.625,0.7666666666666666,0.8041666666666667,0.6001472243735527,0.205398524237395
Bidirectional cross-task,1,Riemannian MDM,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.625,0.7666666666666666,0.8041666666666667,0.5053735468074415,0.1611187431011535
Bidirectional cross-task,1,Riemannian TS-LR,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.625,0.7666666666666666,0.8041666666666667,0.9084171358872452,0.2603288599871004
Bidirectional cross-task,1,OOF recording-level stacking,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.5,0.7312499999999998,0.7708333333333331,1.0991435593851075,0.3010717358071474
Bidirectional cross-task,2,Always fused,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.625,0.8354166666666667,0.8541666666666666,0.7715141583964255,0.2859740656008217
Bidirectional cross-task,2,Always neural,6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.625,0.8354166666666667,0.8541666666666666,1.072347795990229,0.3700892908322949
Bidirectional cross-task,2,CB-SF,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.625,0.8354166666666667,0.8541666666666666,0.7481198417817855,0.2746148792417383
Bidirectional cross-task,2,DASF,6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.5,0.7312499999999998,0.7708333333333331,0.9969339863532846,0.3485835228437511
Bidirectional cross-task,2,EEG-Conformer,6,2,4,0.6666666666666666,0.75,0.5,1.0,1.0,0.6666666666666666,0.75,0.8708333333333333,0.8874999999999998,0.8057286412435563,0.2883210383336758
Bidirectional cross-task,2,EEGNet,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.25,0.5041666666666667,0.6083333333333332,1.8146221187299023,0.3134228417251672
Bidirectional cross-task,2,Equal blend (50%),6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.625,0.8354166666666667,0.8541666666666666,0.7355104421765208,0.2692558690566201
Bidirectional cross-task,2,Extra Trees,6,2,4,0.5,0.625,0.25,1.0,1.0,0.4,0.875,0.94375,0.95,0.6787409023894305,0.2429764724378256
Bidirectional cross-task,2,Fixed blend (10%),6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.625,0.8354166666666667,0.8541666666666666,0.7863625253629699,0.2913495916373178
Bidirectional cross-task,2,Fixed blend (25%),6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.625,0.8354166666666667,0.8541666666666666,0.7469910531506841,0.2751326982470719
Bidirectional cross-task,2,Random forest,6,2,4,0.5,0.625,0.25,1.0,1.0,0.4,0.625,0.7666666666666666,0.8041666666666667,0.8754237761383629,0.3295142272994287
Bidirectional cross-task,2,Riemannian MDM,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.625,0.8354166666666667,0.8541666666666666,0.6662734716902827,0.236630042579995
Bidirectional cross-task,2,Riemannian TS-LR,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.625,0.7666666666666666,0.8041666666666667,1.7461922889888517,0.3414503114752133
Bidirectional cross-task,2,OOF recording-level stacking,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.5,0.7312499999999998,0.7708333333333331,1.3959104450210085,0.4077438555273504
Bidirectional cross-task,3,Always fused,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.625,0.7666666666666666,0.8041666666666667,1.1470718785216931,0.2849204404751389
Bidirectional cross-task,3,Always neural,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.625,0.7666666666666666,0.8041666666666667,4.238585066380833,0.2195776658590713
Bidirectional cross-task,3,CB-SF,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.625,0.7666666666666666,0.8041666666666667,1.1777181607220617,0.2725739240830591
Bidirectional cross-task,3,DASF,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.625,0.7666666666666666,0.8041666666666667,1.1470718785216931,0.2849204404751389
Bidirectional cross-task,3,EEG-Conformer,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.75,0.8708333333333333,0.8874999999999998,0.5430458870522996,0.1847581143853564
Bidirectional cross-task,3,EEGNet,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.5,0.5791666666666666,0.6791666666666667,0.9251983993800192,0.2641273156826785
Bidirectional cross-task,3,Equal blend (50%),6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.625,0.7666666666666666,0.8041666666666667,1.2240699519091367,0.2554926415253345
Bidirectional cross-task,3,Extra Trees,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.625,0.7666666666666666,0.8041666666666667,0.6851437574413971,0.2056996895362229
Bidirectional cross-task,3,Fixed blend (10%),6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.625,0.7666666666666666,0.8041666666666667,1.43490703996026,0.2306439379937597
Bidirectional cross-task,3,Fixed blend (25%),6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.625,0.7666666666666666,0.8041666666666667,1.3076964035117038,0.2410576692354783
Bidirectional cross-task,3,Random forest,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.625,0.7666666666666666,0.8041666666666667,0.6682646610271507,0.1904192386105783
Bidirectional cross-task,3,Riemannian MDM,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.75,0.8708333333333333,0.8874999999999998,0.5861846759392793,0.2009285649255356
Bidirectional cross-task,3,Riemannian TS-LR,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.5,0.5791666666666666,0.6791666666666667,1.7646320174248495,0.3394275847459685
Bidirectional cross-task,3,OOF recording-level stacking,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.375,0.6916666666666667,0.7333333333333332,1.4423862640525933,0.3194676759917494
Bidirectional cross-task,4,Always fused,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.625,0.7666666666666666,0.8041666666666667,1.424935267200684,0.2363482359751462
Bidirectional cross-task,4,Always neural,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.625,0.7666666666666666,0.8041666666666667,1.9006159284221693,0.166663336277378
Bidirectional cross-task,4,CB-SF,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.625,0.7666666666666666,0.8041666666666667,1.2939995965475193,0.1753446178176383
Bidirectional cross-task,4,DASF,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.75,0.8708333333333333,0.8874999999999998,1.1928097200111247,0.1664066802782777
Bidirectional cross-task,4,EEG-Conformer,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.75,0.8708333333333333,0.8874999999999998,1.1994912640792912,0.2192480134335154
Bidirectional cross-task,4,EEGNet,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.75,0.8708333333333333,0.8874999999999998,1.5697156714234914,0.2493430453619407
Bidirectional cross-task,4,Equal blend (50%),6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.625,0.7666666666666666,0.8041666666666667,1.4758953559529373,0.2099669433374153
Bidirectional cross-task,4,Extra Trees,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.75,0.8708333333333333,0.8874999999999998,1.3189444340421566,0.2306489633778528
Bidirectional cross-task,4,Fixed blend (10%),6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.625,0.7666666666666666,0.8041666666666667,1.6244126489103372,0.1830730020337198
Bidirectional cross-task,4,Fixed blend (25%),6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.625,0.7666666666666666,0.8041666666666667,1.536493166729774,0.1948184977531002
Bidirectional cross-task,4,Random forest,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.625,0.7666666666666666,0.8041666666666667,1.6628252069874776,0.2247905673252244
Bidirectional cross-task,4,Riemannian MDM,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.75,0.8708333333333333,0.8874999999999998,0.9665351835118524,0.1879307848065504
Bidirectional cross-task,4,Riemannian TS-LR,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.5,0.5791666666666666,0.6791666666666667,3.898001237716292,0.4946050250029192
Bidirectional cross-task,4,OOF recording-level stacking,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.625,0.7666666666666666,0.8041666666666667,0.9272283900208274,0.3272714276817202
Bidirectional cross-task,5,Always fused,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.25,0.5041666666666667,0.6083333333333332,0.92047084362863,0.3500009208659093
Bidirectional cross-task,5,Always neural,6,2,4,0.3333333333333333,0.25,0.5,0.0,0.5,0.5,0.0,0.4416666666666667,0.525,3.80958044540326,0.6260566671643057
Bidirectional cross-task,5,CB-SF,6,2,4,0.3333333333333333,0.25,0.5,0.0,0.5,0.5,0.25,0.5041666666666667,0.6083333333333332,0.9929859913686458,0.3819164483203778
Bidirectional cross-task,5,DASF,6,2,4,0.3333333333333333,0.25,0.5,0.0,0.5,0.5,0.0,0.4416666666666667,0.525,3.80958044540326,0.6260566671643057
Bidirectional cross-task,5,EEG-Conformer,6,2,4,0.3333333333333333,0.25,0.5,0.0,0.5,0.5,0.125,0.4625,0.5666666666666667,1.8481725135678493,0.5512455219333318
Bidirectional cross-task,5,EEGNet,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.5,0.7312499999999998,0.7708333333333331,0.661845091003214,0.2342826796693044
Bidirectional cross-task,5,Equal blend (50%),6,2,4,0.3333333333333333,0.25,0.5,0.0,0.5,0.5,0.0,0.4416666666666667,0.525,1.1047757960943656,0.4275031952981256
Bidirectional cross-task,5,Extra Trees,6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.0,0.4416666666666667,0.525,1.103214327728811,0.4094591844419053
Bidirectional cross-task,5,Fixed blend (10%),6,2,4,0.3333333333333333,0.25,0.5,0.0,0.5,0.5,0.0,0.4416666666666667,0.525,1.5502981063995571,0.5413911790015589
Bidirectional cross-task,5,Fixed blend (25%),6,2,4,0.3333333333333333,0.25,0.5,0.0,0.5,0.5,0.0,0.4416666666666667,0.525,1.2955095354438655,0.4876583677519144
Bidirectional cross-task,5,Random forest,6,2,4,0.1666666666666666,0.125,0.25,0.0,0.3333333333333333,0.2857142857142857,0.0,0.4416666666666667,0.525,1.483789241135721,0.5190957748760293
Bidirectional cross-task,5,Riemannian MDM,6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.375,0.5437499999999998,0.6458333333333331,1.047453134919092,0.3405247967793396
Bidirectional cross-task,5,Riemannian TS-LR,6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.5,0.7312499999999998,0.7708333333333331,0.7387841905253416,0.2506962063935133
Bidirectional cross-task,5,OOF recording-level stacking,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.25,0.5041666666666667,0.6083333333333332,3.31658608978886,0.5179709813499539
Bidirectional cross-task,6,Always fused,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.25,0.5041666666666667,0.6083333333333332,0.9251830404516292,0.3488202834117574
Bidirectional cross-task,6,Always neural,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.875,0.94375,0.95,0.4873089715337544,0.1657188412390119
Bidirectional cross-task,6,CB-SF,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.375,0.6916666666666667,0.7333333333333332,0.7555014111198236,0.2801253530716886
Bidirectional cross-task,6,DASF,6,2,4,0.5,0.625,0.25,1.0,1.0,0.4,0.5,0.7958333333333333,0.8166666666666667,0.8249108785316622,0.3021174932979837
Bidirectional cross-task,6,EEG-Conformer,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,1.0,1.0,1.0,0.5568759566315354,0.2022407886089228
Bidirectional cross-task,6,EEGNet,6,2,4,0.3333333333333333,0.375,0.25,0.5,0.5,0.3333333333333333,0.125,0.4625,0.5666666666666667,0.7011300471858902,0.2539900137319359
Bidirectional cross-task,6,Equal blend (50%),6,2,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6361128990723637,0.2218218402037791
Bidirectional cross-task,6,Extra Trees,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.625,0.8354166666666667,0.8541666666666666,0.6445867346747342,0.226322644566805
Bidirectional cross-task,6,Fixed blend (10%),6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.875,0.94375,0.95,0.5088625947953447,0.164863375340403
Bidirectional cross-task,6,Fixed blend (25%),6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.875,0.94375,0.95,0.5587232261091138,0.184886556145518
Bidirectional cross-task,6,Random forest,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.375,0.6916666666666667,0.7333333333333332,0.7027729701694007,0.2549100553654752
Bidirectional cross-task,6,Riemannian MDM,6,2,4,0.3333333333333333,0.375,0.25,0.5,0.5,0.3333333333333333,0.375,0.6916666666666667,0.7333333333333332,2.778619023486001,0.5454716914010761
Bidirectional cross-task,6,Riemannian TS-LR,6,2,4,0.3333333333333333,0.375,0.25,0.5,0.5,0.3333333333333333,0.5,0.7312499999999998,0.7708333333333331,2.850071845165101,0.5779614458924222
Bidirectional cross-task,6,OOF recording-level stacking,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.25,0.5041666666666667,0.6083333333333332,0.9838858890124436,0.3726399268753279
Bidirectional cross-task,7,Always fused,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.5,0.5791666666666666,0.6791666666666667,0.6812072361702766,0.2434986063321755
